#{"t_start": 1644413010.7135012, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-91.345151,352,85.921203
-599.576866,393,87.288563
-43.105506,193,87.910591
-83.838622,174,88.396097
-233.300183,231,89.018664
-96.908733,239,89.602929
-46.167047,139,90.162606
-177.070852,312,91.121248
-199.963674,198,91.657117
-271.7834,291,92.579932
-23.256327,308,93.490579
-318.261447,592,95.939502
-265.761651,713,98.887864
-333.478456,995,102.465024
-629.222574,712,104.694097
-680.106769,492,106.426234
-375.317508,654,108.986334
-800.459105,444,110.295996
-161.285658,1000,114.55124
-218.054847,193,115.154972
-130.009346,148,115.442497
-165.212358,453,116.949357
-333.755194,252,117.495997
-159.769633,291,118.386415
-203.862433,217,118.984436
-411.763611,420,120.448996
-149.451838,338,121.411702
-319.846415,213,122.053721
-347.133276,202,122.549641
-68.361535,186,123.171813
-221.014058,441,124.450679
-344.204305,237,125.251958
-642.504831,985,128.931138
-377.273831,779,131.933153
51.573978,179,132.438076
-595.99857,587,134.592874
-50.290105,433,135.964548
-9.976535,198,136.460086
-136.621169,1000,140.51015
-121.624895,1000,145.007719
-134.247302,1000,148.69764
-147.49056,1000,154.162687
-167.082267,1000,160.290628
-135.88542,723,163.138262
-297.531816,978,166.897932
-441.616024,556,168.918331
-96.817791,1000,172.972478
-74.581151,1000,177.425089
-389.236701,408,178.936853
-537.412643,552,181.144354
-67.748738,1000,186.039786
-42.677584,1000,191.903461
-108.794768,1000,196.472064
-391.667687,525,198.259841
-82.916318,1000,202.85909
-359.131534,307,203.725679
-103.5606,1000,208.440745
-94.59781,1000,212.539169
-294.171931,950,216.335334
-407.912767,147,216.860292
-611.86869,723,219.327509
-296.505096,233,219.973631
-98.109333,1000,224.485075
-252.907984,621,226.946131
-216.081565,555,228.920554
-36.669686,496,230.742425
-34.98011,1000,235.297067
-130.182845,1000,239.015394
-171.921809,171,239.509551
-107.891432,1000,244.197917
-201.291416,324,245.117461
-261.867691,119,245.379814
-257.439859,320,246.55601
-29.021404,1000,249.934137
-68.15477,1000,253.435214
-143.804271,122,253.720577
-145.564181,862,257.916505
-131.582448,1000,262.626895
-62.246147,1000,266.207582
-127.599771,398,267.555606
-95.577891,1000,272.064506
-101.783245,1000,275.883586
-85.848077,1000,279.696188
-101.738541,1000,284.350003
-89.976454,1000,287.732052
-95.350035,1000,291.8936
-99.126927,1000,296.816174
-65.919199,1000,300.813451
-103.474984,1000,305.483365
-110.090661,1000,309.709826
-62.338196,1000,313.999971
-72.863749,1000,317.444852
-42.467199,1000,320.741872
-147.412293,1000,325.325012
-81.690108,179,325.868675
-123.966892,404,327.27079
-109.422703,1000,331.299006
-85.482073,1000,335.057388
-26.942905,1000,338.524993
-104.908819,1000,342.510154
-46.863879,1000,346.147964
-23.855379,1000,350.506334
-67.261344,1000,354.736861
-17.695737,1000,358.101707
-26.276471,1000,362.203537
-87.239528,1000,365.899907
-140.098981,921,369.013843
-48.759607,1000,372.640292
-72.510107,1000,376.241336
-139.293842,1000,379.746179
-84.740839,1000,384.19512
