#{"t_start": 1644413010.7135012, "env_id": "LunarLanderContinuous-v2"}
r,l,t
260.15477,278,2485.03684
225.772943,230,2485.781375
259.729829,159,2486.127578
244.505531,173,2486.615301
269.027176,406,2487.968429
260.041196,184,2488.523339
229.465375,563,2490.639145
280.107429,140,2491.917084
281.15662,185,2492.467729
279.962954,312,2493.415699
280.519681,690,2495.654065
259.013693,179,2496.213373
253.313109,157,2496.494982
215.224139,345,2497.631805
286.46334,178,2497.924709
245.738428,156,2498.446813
262.748699,585,2500.299682
283.17591,639,2502.493224
283.324202,147,2503.013937
256.142555,271,2503.696345
269.774991,196,2504.306533
263.605841,392,2505.448482
280.987394,139,2505.928541
264.528667,149,2506.287755
285.218523,154,2506.789753
247.148061,480,2508.038648
271.763765,159,2508.604878
267.268038,331,2509.644265
268.825626,170,2510.249532
259.143359,242,2510.850249
263.324711,188,2511.432286
267.767633,155,2511.925541
237.790587,174,2512.518062
278.422817,191,2513.112127
269.847553,453,2514.454674
270.28062,163,2514.969914
249.526228,155,2515.325077
271.771954,178,2515.833261
262.833524,151,2516.401786
253.900757,390,2517.405025
278.180627,141,2517.836386
248.289175,222,2518.441078
246.24408,210,2518.994881
265.152532,156,2519.524841
24.85763,1000,2524.307209
253.276705,173,2524.60587
268.974001,224,2525.387709
259.00361,164,2525.696963
271.142173,707,2527.897145
250.400462,535,2529.790667
233.833784,203,2530.420152
250.733057,182,2530.937796
251.763261,704,2533.655849
261.21025,357,2534.686746
261.463933,626,2536.601932
266.514777,149,2537.108678
238.502574,238,2537.68075
276.86532,222,2538.525578
274.744067,251,2539.193765
271.51913,318,2540.075399
217.799171,632,2542.659823
258.868576,165,2542.97002
262.011757,326,2543.90928
285.143143,180,2544.45936
287.64254,156,2544.938383
232.173422,255,2545.593183
245.247963,507,2547.23616
263.200503,153,2547.747047
265.387392,223,2548.361452
249.143693,170,2548.861955
137.808898,1000,2552.032375
242.913087,193,2552.623712
269.368189,169,2553.170948
275.374989,151,2553.470178
256.971585,160,2553.943493
270.961898,177,2554.332138
190.957786,1000,2558.25592
260.639642,165,2558.76795
252.354703,375,2559.981835
266.938465,167,2560.329184
278.54727,141,2560.777708
264.819052,143,2561.096589
39.199416,384,2562.244233
264.169176,171,2562.743611
257.594267,146,2563.05123
70.76199,1000,2567.13067
247.10931,213,2567.75878
255.125667,177,2568.334843
268.668501,239,2569.214113
245.342107,235,2569.769293
263.911045,168,2570.354176
237.677708,180,2570.684536
180.696229,1000,2573.987455
286.476886,342,2575.265842
282.338976,172,2575.743716
279.804162,158,2576.090803
325.188883,185,2576.633888
290.717505,157,2577.148941
266.145403,186,2577.496415
251.713284,186,2578.040827
249.803114,808,2580.821506
289.100064,204,2581.441582
283.339154,206,2582.194472
240.918453,315,2583.037404
250.335171,173,2583.374722
261.31659,196,2583.872434
287.73526,591,2585.721636
62.324712,1000,2590.168149
267.924105,172,2590.705948
271.882815,175,2591.324818
250.489942,213,2591.85264
279.952226,160,2592.216985
286.242101,195,2592.714768
268.628018,227,2593.536097
264.816281,201,2594.149096
268.350527,204,2594.708302
266.988055,162,2595.012179
258.719901,412,2596.276942
-440.186622,430,2597.899532
277.396711,146,2598.280334
283.931745,144,2598.750745
278.489248,223,2599.408898
263.718695,179,2599.902249
67.529216,1000,2603.886283
254.993084,211,2604.526499
259.572876,363,2605.577589
-291.104375,239,2606.381392
237.346909,495,2607.897141
306.956584,156,2608.283255
259.837704,190,2608.817365
193.248693,630,2611.149415
213.102791,262,2611.732051
-527.980485,254,2612.555573
266.028304,141,2612.829445
271.329725,175,2613.401981
222.284474,243,2613.977931
268.959601,666,2616.197953
-148.012567,207,2616.740148
264.901413,170,2617.292621
276.93708,187,2617.757977
263.607076,709,2620.702093
252.617303,262,2621.383594
266.48403,172,2621.855228
-549.72502,217,2622.458864
-444.405305,155,2622.992318
286.297446,190,2623.579365
260.9611,187,2623.894798
-72.723078,226,2624.660336
273.790411,218,2625.287844
269.929266,191,2625.777324
285.34926,141,2626.042705
-543.465045,136,2626.561205
270.213308,241,2627.1793
148.599287,1000,2630.505414
-410.573394,199,2631.033741
277.990741,198,2631.660028
265.675853,226,2632.29459
278.811088,160,2632.796895
281.141165,340,2633.774723
289.344068,155,2634.336462
272.363244,224,2634.914472
257.005755,903,2638.395988
258.67458,197,2638.920881
275.148979,173,2639.570483
178.228886,1000,2643.135263
287.211422,327,2644.037316
271.166595,357,2645.34004
251.06751,169,2645.642817
288.639975,254,2646.478422
269.462275,204,2646.997903
275.42974,354,2647.996745
279.077146,221,2648.821654
299.092724,235,2649.432445
293.161113,267,2650.387883
271.340966,201,2651.807306
264.117458,431,2653.164462
278.392471,167,2653.674972
218.868463,411,2654.956493
291.672718,160,2655.342856
281.894675,224,2656.103946
260.454964,195,2656.698898
252.905169,170,2657.004108
266.329636,164,2657.56583
264.258419,390,2658.799052
258.850017,591,2660.827826
270.70341,220,2661.465358
277.715906,175,2661.979692
263.728559,196,2662.561246
277.471383,166,2662.894193
263.21095,191,2663.466728
281.501593,229,2664.045864
270.711488,597,2665.999919
263.537884,153,2666.540583
292.355151,201,2667.070888
255.620471,174,2667.647448
238.557946,225,2668.285634
263.790249,320,2669.15257
267.110769,173,2669.660767
281.977069,176,2670.240931
274.429074,161,2670.551949
287.70416,184,2671.123484
294.035417,247,2671.930103
285.507845,252,2672.644091
279.250397,140,2672.950963
253.456506,201,2673.761516
244.69309,150,2674.055296
36.12322,146,2674.410163
262.317151,181,2674.916153
291.88246,163,2675.513269
274.87487,197,2676.065652
243.483275,145,2676.405273
255.259085,256,2677.299285
249.883673,292,2678.131963
292.583504,147,2678.449212
284.913906,170,2678.97761
307.971903,421,2680.24352
249.981769,200,2680.775483
249.913944,167,2681.336487
268.641429,156,2682.50638
286.195453,290,2683.445645
236.237467,199,2683.968274
279.50348,304,2684.894055
281.34129,190,2685.483632
254.624334,174,2685.958183
247.632941,285,2686.853704
274.038677,188,2687.430364
261.055358,249,2688.009839
278.354678,202,2688.645594
265.637076,314,2689.51793
258.162459,262,2690.398999
236.905237,198,2690.936381
247.126982,425,2692.222433
285.179962,281,2693.026939
29.686329,97,2693.339634
295.333559,211,2693.859527
290.785696,192,2694.462865
279.919165,142,2694.755193
233.371488,167,2695.319104
269.221705,269,2696.154956
254.63519,179,2696.683467
281.256295,191,2697.277419
262.652362,185,2697.595276
266.635918,219,2698.369815
252.112882,185,2698.697511
209.94509,375,2699.862589
52.755848,148,2700.380449
234.218418,181,2700.690188
218.683694,354,2701.87501
259.832475,171,2702.490798
182.518302,1000,2706.597528
263.871283,411,2707.884391
248.806844,499,2709.384359
277.294392,599,2711.355694
251.53915,193,2711.846776
64.916159,167,2712.184574
289.99412,219,2713.839372
248.299413,241,2714.459322
290.777567,217,2714.965169
229.774144,229,2715.546511
239.194979,675,2718.298559
245.079593,188,2718.791649
276.311639,212,2719.400909
238.84715,243,2720.228094
132.262997,1000,2723.77574
51.293176,232,2724.391815
277.353713,222,2724.931715
273.147295,169,2725.470594
244.753332,218,2726.008212
233.016439,200,2726.624997
263.284426,147,2726.923118
200.190929,628,2729.335081
281.38509,164,2729.63193
245.330097,679,2731.703629
232.856131,496,2733.454942
275.067987,173,2733.966339
259.104188,182,2734.554269
72.177058,148,2734.843002
256.913123,156,2735.387032
291.372294,216,2735.938987
269.450769,493,2737.481958
266.394954,581,2739.441835
273.617367,882,2742.279297
10.590356,1000,2746.262525
280.971112,147,2747.67652
269.634097,192,2748.256865
144.528095,1000,2751.845655
283.622126,227,2752.45875
295.152378,387,2753.745274
265.264137,199,2754.362383
247.749763,170,2754.857694
52.458901,1000,2759.64084
251.681714,299,2760.514835
235.143578,164,2760.824592
262.34745,200,2761.441064
267.545152,572,2763.31881
239.163475,138,2763.602456
255.862285,177,2764.114476
165.5244,1000,2767.796762
249.850179,168,2768.386383
139.095039,1000,2771.778561
260.122592,330,2772.728197
262.62222,145,2773.252914
47.610215,118,2773.516487
248.926939,195,2774.018269
40.66719,136,2774.381834
252.409619,350,2775.584697
185.026378,1000,2778.42621
251.437135,197,2778.920341
174.841847,1000,2783.085163
271.66547,190,2783.467331
262.321865,294,2784.276289
34.604159,125,2784.727464
-86.593177,955,2788.445236
51.40571,116,2788.693668
252.041337,266,2789.512276
265.867855,176,2790.017108
215.408588,167,2790.432309
266.718903,201,2790.950549
36.21936,94,2791.252024
229.988118,198,2791.825448
260.208075,346,2792.957201
264.977459,188,2793.520674
266.098654,178,2794.020743
45.944667,99,2794.378604
27.70096,106,2794.641219
276.975673,249,2795.250949
276.073808,170,2795.72856
23.599038,109,2795.970444
273.795747,514,2797.64112
19.239486,147,2797.919073
243.520689,252,2798.720225
198.159092,265,2799.543987
261.530923,221,2800.125919
286.316548,182,2800.714294
264.39976,175,2801.021871
241.50664,173,2801.592009
150.004782,1000,2804.951015
-4.132468,391,2806.153484
265.198799,165,2806.679158
133.982338,1000,2810.005742
15.323547,667,2812.247553
243.966655,184,2813.683563
262.133137,169,2814.222655
255.590152,173,2814.76832
259.936319,167,2815.042573
269.603167,125,2815.573771
265.431891,236,2816.119817
247.302187,310,2817.0911
240.99522,259,2817.966596
303.90729,228,2818.61855
220.483268,587,2820.620365
258.088263,193,2821.148961
281.2713,141,2821.516484
244.255853,185,2822.016525
146.003531,1000,2825.22336
282.871001,178,2825.750442
258.679167,184,2826.309822
263.154094,167,2826.585763
284.99006,197,2827.074501
257.628661,184,2827.632934
260.809922,164,2828.099014
277.035965,160,2828.489878
266.79548,161,2828.967875
226.71781,796,2831.724604
-191.015336,255,2832.416672
273.493044,156,2832.89679
-293.592365,1000,2836.503071
246.228451,174,2837.016722
263.904509,180,2837.581264
287.363645,164,2837.888656
225.122936,998,2841.586352
228.68372,913,2844.788233
280.030147,187,2846.266745
298.49383,201,2846.791499
276.233517,162,2847.364036
294.527939,175,2847.850433
-63.036883,1000,2851.32666
-0.366344,91,2851.386314
207.809941,394,2852.633861
242.803974,198,2853.176733
-20.571551,1000,2858.166148
47.711315,104,2858.475729
249.804928,162,2858.945847
271.080204,174,2859.516997
232.596342,198,2860.03863
272.432414,179,2860.63345
264.955537,160,2860.938853
11.889056,104,2861.246002
240.26731,781,2863.914725
264.303699,159,2864.482659
269.775544,175,2864.814906
281.670973,146,2865.363408
282.029451,167,2865.648539
259.933313,164,2866.136571
263.242527,210,2866.761648
250.013161,186,2867.331613
264.106361,159,2867.811777
22.622408,90,2868.056074
280.836588,160,2868.445959
231.227515,720,2870.802781
269.675059,204,2871.435003
265.800788,202,2871.955125
278.956399,164,2872.536688
244.181576,151,2873.026329
280.048992,181,2873.417138
279.628717,244,2874.19733
266.013177,251,2874.859003
272.022756,188,2875.452416
266.422659,163,2875.940562
23.85579,1000,2880.518487
298.013919,143,2880.79539
268.65891,187,2881.393526
241.623079,629,2883.067603
254.007773,207,2883.674591
247.154166,172,2884.165015
-216.419364,255,2885.025102
231.479916,181,2885.625559
266.794543,252,2886.286905
281.674607,182,2886.79542
269.793379,181,2887.353494
181.597866,303,2888.125651
288.170529,260,2888.778584
256.305565,341,2889.93297
276.97164,236,2890.569253
238.77421,214,2891.085304
-192.91227,237,2891.936065
271.890407,153,2892.276765
302.813751,278,2893.148513
272.128529,198,2893.73133
53.052187,1000,2897.543084
271.422303,181,2898.048822
273.448935,186,2898.631402
258.815821,218,2899.185349
286.380197,191,2899.771398
254.825372,203,2900.368656
299.383696,206,2900.919133
-349.040746,285,2901.833026
282.425588,181,2902.129409
269.502847,158,2902.695659
54.934722,116,2902.963536
43.49561,95,2903.247497
220.562066,484,2904.857687
-233.292309,354,2905.803263
-317.745042,525,2907.703261
282.541533,145,2907.976409
227.349973,210,2908.544052
264.891894,158,2909.018284
254.755635,310,2910.894739
244.054665,518,2912.38291
36.116989,1000,2915.601968
236.461118,208,2916.128572
277.204021,173,2916.68676
263.953856,143,2916.998684
34.533515,105,2917.299151
268.874086,441,2918.661496
2.119504,95,2918.898986
-649.523396,249,2919.568071
239.126266,436,2920.990923
271.516634,181,2921.387362
256.81992,171,2921.872447
-28.308423,169,2922.454737
254.815728,169,2922.964532
273.94648,160,2923.28388
250.126886,504,2924.857386
251.748886,165,2925.432427
-50.020447,1000,2929.175928
259.493164,156,2929.546196
235.026257,193,2930.045727
237.309567,210,2930.656638
263.077724,627,2932.668806
-199.684067,275,2933.397524
287.177954,137,2933.87158
-193.965298,160,2934.169237
22.95568,127,2934.72304
8.466609,1000,2938.523835
140.057046,1000,2941.935471
252.905729,188,2943.476823
-19.699062,111,2943.729745
256.609876,589,2945.685026
252.879931,301,2946.563578
245.101394,177,2946.903167
150.173634,818,2949.89997
-22.300613,131,2950.171681
247.100338,208,2950.776799
-13.798403,93,2951.034724
284.112215,161,2951.417765
277.368314,224,2952.170479
253.71363,176,2952.592427
-28.079877,258,2953.456846
276.35312,184,2953.98358
284.534956,132,2954.286741
-75.96975,141,2954.825777
185.834667,601,2956.990485
260.433677,235,2957.59868
-4.264063,90,2957.844183
275.017803,368,2958.997189
229.733193,475,2960.39203
247.756291,257,2961.17041
288.762591,499,2962.75101
239.999017,573,2964.674736
284.81057,187,2965.013762
270.377793,238,2965.807219
281.40759,150,2966.100253
263.007961,196,2966.698202
291.735609,173,2967.181267
45.24885,115,2967.50479
290.869988,179,2968.023984
278.60491,156,2968.578497
284.789886,170,2968.884171
249.679031,257,2969.762991
286.049137,214,2970.40796
155.253947,1000,2973.577259
257.265666,179,2975.039685
246.130875,180,2975.620345
228.745532,163,2975.918956
283.737326,616,2978.226354
66.955444,113,2978.567318
259.49772,305,2979.444188
230.024449,368,2980.594668
-96.559768,247,2981.411139
263.729543,134,2981.673919
-15.37617,383,2982.858443
206.830822,527,2984.848296
257.160296,197,2985.463513
248.979822,894,2988.414517
198.987229,532,2990.208075
246.622686,197,2990.830827
195.577809,673,2993.696198
281.842063,148,2993.987415
260.451734,392,2995.480535
289.505499,323,2996.58131
258.094356,152,2996.870549
249.051415,680,2999.15709
27.422185,104,2999.487596
316.308179,287,3000.390067
267.378272,204,3000.906524
40.553429,110,3001.153126
262.247933,207,3001.755536
14.337621,101,3002.001646
226.35205,378,3003.185958
295.720269,193,3003.763949
271.225911,186,3004.383075
286.721474,148,3004.666374
35.854969,81,3004.914667
288.809378,690,3007.272974
274.614967,197,3008.865946
275.671058,142,3009.158653
256.428435,196,3009.752171
266.446893,189,3010.270155
264.797876,448,3011.881093
207.823469,295,3012.788766
-6.928386,1000,3016.539181
152.233686,1000,3019.955077
153.226988,988,3023.976595
290.025729,284,3024.893962
257.532568,152,3025.420503
244.357712,184,3025.932599
192.60217,232,3026.594238
259.319291,153,3026.87472
255.754026,184,3027.488814
271.818965,389,3028.654549
275.573368,191,3029.202843
234.058332,202,3029.842129
296.112835,181,3030.39049
-12.61611,286,3031.177886
291.945733,214,3031.790048
221.949195,323,3032.63744
304.535777,158,3033.145489
240.068032,314,3034.097971
170.919524,427,3035.637082
277.411976,199,3036.143802
271.66094,181,3036.713073
272.619899,170,3037.195761
251.118778,205,3037.784171
11.000418,94,3038.021861
198.134904,445,3039.325097
263.187748,182,3039.861901
292.80397,203,3040.447573
259.100148,262,3042.301552
301.495783,158,3042.651421
246.957075,152,3043.116073
233.371445,773,3045.340635
-54.344228,335,3046.470159
269.1866,195,3046.978365
267.650174,344,3047.887574
205.521018,483,3049.392785
247.474115,341,3050.277989
256.21289,504,3051.839123
0.964471,1000,3056.267836
254.46899,167,3056.858519
279.28733,254,3057.716537
276.700657,155,3058.011378
298.395328,246,3058.846176
233.12675,418,3060.099442
286.676292,238,3060.698905
231.703331,291,3061.572407
254.946136,223,3062.114745
259.352986,194,3062.666543
283.424253,348,3063.776857
269.785282,300,3064.637939
281.814901,236,3065.211324
280.625546,181,3065.779388
21.592417,1000,3069.281384
262.871157,876,3072.214565
287.318499,206,3072.810739
275.09085,142,3073.083938
263.516347,166,3074.664838
215.107924,241,3075.224596
268.607493,170,3075.764052
24.888437,128,3076.014426
273.51563,169,3076.561484
283.284917,339,3077.563025
242.683015,288,3078.452227
243.254222,180,3078.926111
265.873685,848,3081.471278
255.004836,183,3081.984426
214.400974,302,3082.956473
213.674595,281,3083.83934
20.807944,150,3084.360078
268.426839,208,3084.886108
314.888642,191,3085.48318
268.696622,990,3088.33805
269.144826,164,3088.867867
279.513291,198,3089.465278
245.609922,196,3090.003856
-85.942679,192,3090.600905
239.615503,344,3091.537603
271.927212,232,3092.299447
241.17947,138,3092.65493
32.414015,86,3092.914061
241.158716,510,3094.530863
272.396028,214,3095.080604
259.401108,160,3095.62628
64.598495,142,3095.892879
293.489819,233,3096.728482
250.669028,184,3097.031632
294.746652,142,3097.583445
288.347254,200,3098.135575
261.348545,171,3098.70474
307.932883,188,3099.030905
266.826018,170,3099.602554
215.114121,233,3100.175302
276.671027,190,3100.78178
247.196694,196,3101.282475
273.846584,168,3101.841682
272.06933,196,3102.397465
261.116121,184,3102.927836
277.926109,178,3104.501074
246.439125,334,3105.502366
144.724513,1000,3109.178375
269.407844,145,3109.540529
273.644308,183,3110.033581
254.761587,162,3110.594955
252.279007,180,3111.114638
228.861652,168,3111.518837
263.691398,295,3112.287623
258.419223,498,3113.962505
277.891913,267,3114.840956
283.308052,174,3115.384692
234.072044,349,3116.346119
284.905364,191,3116.894337
285.891406,353,3118.042521
287.801148,169,3118.387848
165.871269,1000,3121.66513
234.250728,156,3122.147591
291.702533,345,3123.092671
266.969075,166,3123.659111
264.750074,340,3124.580685
265.736364,151,3125.056427
285.097991,156,3125.404428
254.112801,168,3125.908159
264.436979,170,3126.509198
272.456066,214,3127.049007
283.417227,182,3127.599002
252.493869,167,3127.941098
22.128958,77,3128.174743
285.040204,157,3128.725108
278.651367,141,3129.024152
251.003527,677,3131.321261
260.698001,165,3131.812876
265.451909,151,3132.089523
258.486109,166,3132.61913
243.988607,291,3133.533905
258.136398,127,3133.80822
302.576905,163,3134.318586
284.079541,180,3134.73586
25.421022,163,3136.245884
263.202052,197,3136.80932
262.961963,192,3137.301511
292.715018,146,3137.646643
297.371901,160,3138.142372
293.863354,185,3138.781572
267.935973,372,3139.815173
265.727383,157,3140.307009
278.469496,209,3140.904409
271.810272,176,3141.450764
264.117914,135,3141.981994
258.036729,179,3142.552468
254.790607,167,3143.070392
296.733528,265,3144.150521
285.41963,174,3144.747873
272.030031,250,3145.654681
273.615209,252,3146.222775
264.595003,171,3146.776755
288.077023,161,3147.086359
34.555724,244,3147.920961
41.305464,81,3148.346298
243.232923,195,3149.054385
258.108749,545,3150.863802
263.88458,151,3151.399282
275.60577,178,3151.766486
277.805723,244,3152.569186
250.542709,426,3153.777278
298.338979,344,3154.972851
254.310824,254,3155.576945
294.398249,175,3156.083738
267.037979,240,3156.721214
287.547946,228,3157.50936
261.937254,191,3157.837931
254.008739,287,3158.716311
38.60453,109,3158.964919
272.684933,172,3159.549631
212.178513,441,3161.169941
271.43823,264,3161.831683
250.311109,756,3164.215528
271.415007,330,3165.205649
288.352015,170,3165.792045
304.025495,368,3167.849129
290.628894,175,3168.385255
264.415507,231,3168.981117
282.56696,456,3170.515854
275.272779,179,3171.02975
271.465009,292,3171.937812
271.104042,273,3172.685783
287.912782,292,3173.593268
292.349403,187,3174.113519
269.48242,461,3175.630876
278.794426,203,3176.150173
287.490056,397,3177.430078
221.790797,164,3177.762429
277.831033,165,3178.250598
-5.331825,78,3178.551032
272.398066,584,3180.284363
280.288692,192,3180.902193
16.166446,94,3181.159387
256.46942,361,3182.203662
267.250476,176,3182.788558
285.79304,185,3183.265464
244.820717,518,3184.98817
291.759171,331,3185.942505
260.074234,415,3187.230252
259.338334,146,3187.764764
249.958663,193,3188.30467
287.428204,440,3189.605514
287.950287,198,3190.157991
265.323234,575,3192.151809
270.991196,201,3192.713113
301.119128,292,3193.612144
269.250205,713,3196.166191
214.304817,208,3196.88508
306.750136,260,3197.847869
259.751336,636,3201.150664
287.837032,185,3201.742917
293.190978,411,3202.988576
285.101272,279,3203.86785
283.701379,140,3204.139741
297.429139,515,3205.675223
271.433986,399,3206.915766
148.939435,1000,3210.141409
259.007414,171,3210.720745
280.082021,173,3211.22464
297.309209,252,3211.904387
264.33861,365,3213.105723
262.994267,474,3214.667737
266.558706,215,3215.224219
263.889019,168,3215.80628
291.87647,237,3216.371135
283.627319,156,3216.741361
145.560329,1000,3220.051996
261.869076,254,3220.953759
252.916996,147,3221.490954
293.502863,259,3222.112239
252.836774,161,3222.651257
276.409844,229,3223.203148
301.666092,405,3224.607222
288.277785,166,3225.128601
154.571897,1000,3228.353188
285.893939,270,3228.993263
264.70613,213,3229.794208
290.038447,207,3230.30108
284.365687,211,3231.979125
257.583811,177,3232.284441
269.035576,205,3233.069727
305.583259,215,3233.65048
277.708478,319,3234.635772
290.957516,202,3235.187008
278.87248,368,3236.338549
299.799932,213,3236.939772
277.589707,169,3237.244735
243.858537,173,3237.821397
272.312978,188,3238.278074
269.335339,182,3238.843273
284.786312,191,3239.385608
296.687018,201,3239.949906
308.576171,257,3240.601727
296.039445,186,3241.133979
295.002736,139,3241.677416
296.42233,176,3242.000326
262.556268,169,3242.576092
292.725962,218,3243.147964
295.808139,184,3243.737068
259.408829,178,3244.228578
276.130618,283,3245.133605
265.873779,240,3245.791964
267.750215,198,3246.308637
252.910893,173,3246.856722
233.400659,174,3247.15854
293.585491,216,3247.979234
249.136775,176,3248.27721
298.899086,408,3249.653071
268.315665,208,3250.366771
263.632493,185,3250.737703
270.464495,147,3251.178419
258.602486,168,3251.723213
243.510443,154,3252.018729
250.293663,200,3252.645798
258.881412,296,3253.577929
283.968009,167,3254.088827
284.807751,280,3254.981327
266.33519,178,3255.286904
123.13695,1000,3258.708293
280.816127,165,3259.17734
135.954335,1000,3263.483795
265.196746,212,3264.038303
283.320456,177,3264.60607
268.646094,301,3265.549846
282.86608,205,3266.041989
283.981501,148,3266.30481
261.599885,173,3266.859434
270.252164,888,3269.920404
288.494433,230,3270.509773
273.476059,317,3271.307264
290.921553,187,3271.88988
287.03925,226,3272.681727
-327.496311,237,3273.276135
303.204622,192,3273.875174
286.367007,223,3274.456172
264.942814,169,3274.986417
292.590855,207,3275.579698
291.876008,195,3276.100772
251.050367,220,3276.68984
284.125888,152,3277.188651
297.465516,354,3278.234675
150.052436,1000,3281.784878
265.241112,359,3282.954213
296.400382,253,3283.675339
298.566186,300,3284.562396
306.08326,278,3285.39149
292.511716,184,3285.98841
282.502849,217,3286.642294
267.951694,366,3287.878851
237.284879,272,3288.497599
282.412993,230,3289.271576
300.391887,251,3289.997415
258.992393,188,3290.560208
274.747478,432,3291.848407
284.504235,870,3295.864189
252.149899,272,3296.738357
240.03049,241,3297.296815
274.339297,182,3297.847106
300.381391,189,3298.348121
281.1443,211,3298.943796
276.907095,202,3299.498723
249.100672,261,3300.311601
293.797549,183,3300.926107
235.223286,365,3301.95374
278.971356,161,3302.483372
296.26065,195,3303.031979
261.016102,202,3303.60972
271.56757,164,3303.920547
265.203286,284,3304.843613
263.582561,164,3305.331396
278.270638,149,3305.692467
268.383924,285,3306.565567
260.897945,214,3307.103919
290.404098,200,3307.679712
286.135412,184,3308.176699
276.336235,395,3309.333834
271.086213,191,3309.934525
273.023436,280,3310.745037
283.622446,185,3311.232448
297.757669,200,3311.849559
306.82954,194,3312.365706
289.666163,228,3312.963167
280.868915,314,3313.800484
302.721727,184,3314.344249
268.282391,147,3314.689019
310.323746,213,3315.199144
257.393909,169,3315.730181
263.028391,160,3316.22113
249.158764,159,3316.574323
280.320825,214,3317.305015
258.657565,181,3317.702632
307.794555,177,3318.226168
289.459391,158,3318.791116
280.049891,916,3321.667386
280.666966,171,3322.167398
290.389492,201,3322.754239
276.349063,174,3324.191096
262.827947,157,3324.739333
262.917665,164,3325.219474
256.800547,459,3326.548738
288.208914,206,3327.08711
262.427441,161,3327.651386
252.00619,149,3327.923359
284.400881,222,3328.488937
40.95346,197,3329.033126
283.244211,882,3332.102876
261.987811,173,3332.704789
307.645219,211,3333.250471
256.310202,159,3333.78914
283.989088,190,3334.296837
58.135428,97,3334.65302
301.426839,367,3335.649136
262.129165,518,3337.180152
292.165613,205,3337.781317
289.420195,196,3338.297271
280.070134,183,3338.888863
266.463988,180,3339.435466
290.140503,147,3339.979536
269.337422,197,3340.290728
282.41024,447,3341.864751
292.175692,182,3342.386605
314.635062,197,3342.948475
279.988459,201,3343.458174
263.128595,164,3343.812684
281.972614,149,3344.277685
266.191062,430,3345.511062
262.511446,195,3346.056885
298.199487,308,3347.013293
290.264261,176,3347.579152
289.027514,217,3348.132342
291.524237,309,3349.004912
296.48777,191,3349.610411
286.611131,171,3350.143439
291.622368,231,3350.780021
267.675862,175,3351.259418
291.371137,239,3351.890807
267.918073,155,3352.379267
273.902891,710,3355.746507
281.069583,192,3356.21816
285.984313,261,3356.83429
284.05259,237,3357.716239
292.972234,750,3359.897071
42.07548,90,3360.138997
242.370958,188,3360.720415
290.366325,160,3361.207682
261.045142,179,3361.782449
311.155847,187,3362.122648
261.259621,198,3362.729125
260.26968,198,3363.260098
295.082481,198,3363.875543
272.52818,171,3364.362972
277.452284,186,3364.942012
279.641411,204,3365.508379
261.19285,166,3366.024688
276.8693,219,3366.610832
289.785666,278,3367.441908
254.250155,508,3369.085273
250.271262,170,3369.410937
47.129405,127,3369.935635
299.633496,198,3370.497698
289.995285,175,3370.822352
307.743612,207,3371.34001
283.927601,210,3372.118889
271.537645,171,3372.438581
263.980685,180,3373.002764
262.462948,208,3373.62271
310.245659,186,3374.130411
284.062859,183,3374.716627
269.034748,205,3375.224163
305.614433,230,3375.842256
231.404501,165,3376.3272
244.564383,586,3378.198034
258.748981,176,3378.523863
301.179056,180,3379.10206
277.920967,195,3379.700675
278.098027,187,3380.209301
284.596901,207,3381.119988
272.332438,282,3382.011357
284.902911,186,3382.534938
260.623592,194,3383.184088
267.684691,203,3383.776088
284.59119,234,3385.67935
261.222506,178,3386.331513
268.039075,266,3387.316404
303.665387,194,3387.721953
290.584226,212,3388.520106
260.993779,160,3388.933987
299.321532,282,3389.840306
280.957528,200,3390.384934
313.623536,241,3391.026873
232.270518,624,3393.480803
10.357283,147,3393.85063
282.22652,162,3394.339957
298.966539,174,3394.91041
297.247555,192,3395.257909
275.645631,166,3395.884277
300.405827,381,3397.318072
260.30328,319,3398.333021
284.137933,194,3398.909679
285.277269,270,3399.811181
265.635916,175,3400.129478
306.946605,177,3400.663252
264.585988,221,3401.251816
36.116511,123,3401.79239
271.43705,186,3402.322066
286.742372,681,3404.6177
249.648402,192,3405.191947
279.359384,304,3406.108686
280.180422,194,3406.627592
253.299439,169,3407.153673
297.511619,267,3408.035672
280.163624,399,3409.199398
266.346333,175,3409.499125
258.856626,169,3410.136461
302.329695,220,3410.804789
256.929797,209,3411.45276
274.556558,179,3412.090442
48.232999,118,3412.377182
290.178261,206,3412.981889
2.316158,98,3413.247844
247.037883,419,3414.827067
289.609518,188,3415.199417
262.028454,197,3415.776493
316.196499,201,3416.382566
294.157888,229,3418.396122
42.09304,97,3418.650016
31.766269,109,3418.922682
-10.29584,136,3419.215598
304.757039,235,3419.913684
23.40942,138,3420.4334
67.108288,138,3420.774513
47.61644,109,3421.07944
74.97154,162,3421.594096
282.914314,198,3422.24174
297.269074,513,3424.119114
266.992328,180,3424.625621
290.977702,263,3425.322073
310.160001,172,3425.93516
272.284139,145,3426.413945
263.009479,191,3426.970728
244.997077,151,3427.25242
282.237873,283,3428.124534
233.852901,317,3429.009735
307.440685,308,3429.964011
296.447407,293,3430.805171
257.70497,183,3431.337852
264.16763,196,3432.07106
274.009126,190,3432.656219
280.614309,379,3434.03368
252.132412,189,3434.38878
24.876325,99,3434.727456
223.795771,257,3435.895603
264.190387,161,3436.528733
275.027274,182,3436.974022
279.34549,441,3439.253025
